,ANO_OCORRENCIA,MES_OCORRENCIA,UF,MUNICIPIO,ESPECIE_ARMA,MARCA_ARMA,CALIBRE_ARMA,TIPO_OCORRENCIA,MAIS_1000_MIL_HAB,TOTAL,outlier
5652,2024,7,SP,TAQUARITINGA                       ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Apreensão de Arma de Fogo                                                 ,N,1,False
5653,2024,7,SP,TAQUARITINGA                       ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.32                                               ,Campanha do Desarmamento                                                  ,N,1,False
5654,2024,7,SP,TAUBATÉ                            ,Carabina                                          ,ROSSI (AMADEO ROSSI S.A.)                                             ,.38                                               ,Apostilada no Exercito                                                    ,S,1,False
5655,2024,7,SP,TAUBATÉ                            ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apostilada no Exercito                                                    ,S,1,False
5656,2024,7,SP,VINHEDO                            ,Espingarda                                        ,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ,12                                                ,Campanha do Desarmamento                                                  ,N,1,False
5657,2024,7,SP,VINHEDO                            ,Pistola                                           ,ALFA-PROJ (SPOL S.R.O.)                                               ,.380 ACP                                          ,Campanha do Desarmamento                                                  ,N,1,False
5658,2024,7,SP,VOTUPORANGA                        ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Campanha do Desarmamento                                                  ,N,1,False
5659,2024,7,SP,VÁRZEA PAULISTA                    ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Apostilada no Exercito                                                    ,S,1,False
5660,2024,7,SP,ÁLVARO DE CARVALHO                 ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Apreensão de Arma de Fogo                                                 ,N,1,False
5661,2024,7,TO,COLINAS DO TOCANTINS               ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Extravio/Perda de Arma de Fogo                                            ,N,1,False
5662,2024,7,TO,COLINAS DO TOCANTINS               ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.22 LR                                            ,Furto de Arma de Fogo                                                     ,N,2,False
5663,2024,7,TO,PALMAS                             ,Carabina                                          ,CZ (CESKOSLOVENSKA ZBROJOVKA)                                         ,.22 LR                                            ,Apostilada no Exercito                                                    ,S,1,False
5664,2024,7,TO,PALMAS                             ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Apostilada no Exercito                                                    ,S,1,False
5665,2024,7,TO,PALMAS                             ,Rifle                                             ,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ,.22 LR                                            ,Apostilada no Exercito                                                    ,S,2,False
5666,2024,7,TO,PEDRO AFONSO                       ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.45 ACP                                           ,Extravio/Perda de Arma de Fogo                                            ,N,1,False
5667,2024,7,TO,SANTA RITA DO TOCANTINS            ,Rifle                                             ,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ,.22 LR                                            ,Apostilada no Exercito                                                    ,N,1,False
5668,2024,7,TO,TOCANTÍNIA                         ,Espingarda                                        ,BOITO (E.R. AMANTINO & CIA)                                           ,36                                                ,Apostilada no Exercito                                                    ,N,1,False
5669,2024,7,  ,                                   ,Espingarda                                        ,BOITO (E.R. AMANTINO & CIA)                                           ,12                                                ,Extravio/Perda de Arma de Fogo                                            ,N,1,False
5670,2024,7,  ,                                   ,Pistola                                           ,IMBEL                                                                 ,.380                                              ,Apreensão de Arma de Fogo                                                 ,N,1,False
5671,2024,7,  ,                                   ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Recuperação de Arma de Fogo                                               ,N,1,False
5672,2024,7,  ,                                   ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,Apostilada no Exercito                                                    ,N,1,False
5673,2024,7,  ,                                   ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,Apreensão de Arma de Fogo                                                 ,N,1,False
5674,2024,7,  ,                                   ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Remetida ao Exército para destruição                                      ,N,1,False
5675,2024,7,  ,                                   ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apostilada no Exercito                                                    ,N,1,False
5676,2024,8,AC,RIO BRANCO                         ,Espingarda                                        ,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ,.32                                               ,Apreensão de Arma de Fogo                                                 ,S,1,False
5677,2024,8,AC,RIO BRANCO                         ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Apostilada no Exercito                                                    ,S,1,False
5678,2024,8,AC,RIO BRANCO                         ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Recuperação de Arma de Fogo                                               ,S,1,False
5679,2024,8,AC,RIO BRANCO                         ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Furto de Arma de Fogo                                                     ,S,1,False
5680,2024,8,AC,RIO BRANCO                         ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Campanha do Desarmamento                                                  ,S,1,False
5681,2024,8,AL,CRAÍBAS                            ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,Furto de Arma de Fogo                                                     ,N,1,False
5682,2024,8,AL,MACEIÓ                             ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Recuperação de Arma de Fogo                                               ,S,1,False
